suite,scene_raw,scene,planner_raw,planner_public,run_id,source_log_id,benchmark_seed,target_cost,time_limit_s,status_code,status_label,solved,exact,approximate,final_time_s,final_cost,final_cost_normalized,target_hit,target_time_s,first_solution_time_s,first_solution_cost,progress_available
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,38,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,7.70034,527.138829,0.65892353625,true,6.9841,6.9841,547.200748,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,39,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,10.9797,613.848833,0.76731104125,true,10.7197,10.7197,623.562803,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,40,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,4.93166,625.449341,0.78181167625,true,4.68192,4.68192,629.443262,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,41,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,11.8342,563.355311,0.70419413875,true,11.5474,11.5474,594.594845,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,42,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,11.0057,629.036596,0.786295745,true,10.6777,10.6777,667.83128,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,43,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,8.9922,642.117848,0.80264731,true,8.9922,5.11808,818.902591,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,44,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,12.0042,603.458343,0.75432292875,true,11.2465,11.2465,615.843215,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,45,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,7.21529,588.79137,0.7359892125,true,6.73807,6.73807,614.651814,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,46,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,4.24554,667.959405,0.83494925625,true,3.45784,3.45784,695.833278,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,47,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,6.45547,525.191826,0.6564897825,true,6.12651,6.12651,528.556754,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,48,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,10.054,535.765981,0.66970747625,true,9.38047,9.38047,542.562642,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,49,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,8.06583,719.664696,0.89958087,true,7.38039,7.38039,724.105753,true
ablation,Abstract,Abstract,PEBFMTstar_full,PEBFMT*,50,ablation_abstract_full_official_benchmark.log,139955599,800,60,6,exact_solution,true,true,false,9.83524,551.149925,0.68893740625,true,9.11831,9.11831,551.730566,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,1,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,6.93558,532.101832,0.66512729,true,6.42533,6.42533,740.18938,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,2,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,1.63951,696.240839,0.87030104875,true,1.38904,1.38904,701.987055,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,3,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,8.40943,565.729765,0.70716220625,true,7.92444,7.92444,568.153623,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,4,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,24.6713,577.46332,0.72182915,true,24.1239,24.1239,613.520652,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,5,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,8.76578,740.367865,0.92545983125,true,8.5062,8.5062,748.706895,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,6,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,6.629,764.225703,0.95528212875,true,6.35003,6.35003,780.660125,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,7,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,2.28074,601.795235,0.75224404375,true,1.90291,1.90291,628.417982,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,8,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,9.99905,581.229804,0.726537255,true,9.44766,9.44766,582.508693,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,9,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,12.9361,695.187211,0.86898401375,true,11.3633,11.3633,696.563086,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,10,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,9.22412,543.683356,0.679604195,true,8.60322,8.60322,546.073786,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,11,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,4.34167,599.44787,0.7493098375,true,3.95021,3.95021,626.612335,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,12,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,8.63161,577.762204,0.722202755,true,8.46455,8.46455,583.417945,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,13,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,1.47966,648.774334,0.8109679175,true,1.32799,1.32799,656.891802,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,14,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,7.44489,570.976973,0.71372121625,true,7.22002,7.22002,572.283699,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,15,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,11.6077,589.963628,0.737454535,true,10.877,10.877,590.234115,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,16,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,6.58105,686.285186,0.8578564825,true,5.94222,5.94222,713.125674,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,17,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,8.17298,560.75328,0.7009416,true,7.57252,7.57252,563.527824,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,18,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,10.9572,555.129354,0.6939116925,true,10.2562,10.2562,557.846754,true
ablation,Abstract,Abstract,PEBFMTstar_global_only,PEBFMT*-global-only,19,ablation_abstract_global_only_official_benchmark.log,139910787,800,60,6,exact_solution,true,true,false,14.6333,720.226469,0.90028308625,true,14.3515,14.3515,737.714363,true
